League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds
NBA,2025-11-24 13:36:16,2025-11-24 19:10,Toronto Raptors,Cleveland Cavaliers,No,189.3,Yes,-112.22,-85.33,17.22,-126.56,-109.67,-110.33,East,Atlantic,East,Central,-108,-112,-112,-104,-110,-110,-110,-110,115,-141,-110,-110,-117,-109,117,-143,-115,-110,-112,-108,-112,-108,-110,-110,-107,-105,122,-138,-102,-113,-111,-109,120,-140,-105,-115,-120,100,-105,-115,-115,-105,-110,-110,120.0,-140.0,-110,-110,-115,-105,-110,-110,-110,-110
NBA,2025-11-24 13:36:16,2025-11-24 19:10,Indiana Pacers,Detroit Pistons,Yes,240.5,Yes,-109.89,-109.89,351.11,-461.67,-110.11,-109.89,East,Central,East,Central,-115,-105,380,-490,-110,-110,-110,-110,344,-476,-110,-110,-113,-113,340,-480,-114,-112,-115,-105,350,-455,-110,-110,-101,-111,356,-444,-107,-107,-105,-115,350,-450,-110,-110,-110,-110,360,-475,-110,-110,-110,-110,355.0,-450.0,-110,-110,-110,-110,325,-435,-110,-110
NBA,2025-11-24 13:36:16,2025-11-24 19:40,Brooklyn Nets,New York Knicks,Yes,4.8,Yes,-110.89,-108.78,571.67,-856.89,-108.67,-111.33,East,Atlantic,East,Atlantic,-112,-108,610,-900,-115,-105,-110,-110,548,-841,-110,-110,-115,-110,525,-835,-113,-112,-110,-110,600,-900,-108,-112,-111,-101,576,-786,-102,-113,-115,-105,561,-800,-105,-115,-110,-110,575,-900,-105,-115,-110,-110,550.0,-800.0,-110,-110,-105,-115,600,-950,-110,-110
NBA,2025-11-24 13:36:16,2025-11-24 19:40,Miami Heat,Dallas Mavericks,No,1111.8,Yes,-110.44,-109.33,-300.89,244.0,-108.89,-111.22,East,Southeast,West,Southwest,-114,-106,-300,245,-106,-114,-110,-110,-313,245,-110,-110,-109,-117,-315,245,-112,-114,-115,-105,-298,240,-110,-110,-106,-106,-292,245,-102,-113,-110,-110,-295,241,-105,-115,-110,-110,-300,240,-115,-105,-110,-110,-295.0,245.0,-110,-110,-110,-110,-300,250,-110,-110
NBA,2025-11-24 13:36:16,2025-11-24 20:10,New Orleans Pelicans,Chicago Bulls,No,833.6,Yes,-108.78,-111.0,178.5,-216.12,-109.44,-110.44,West,Southwest,East,Central,-106,-114,184,-220,-108,-112,-110,-110,176,-222,-110,-110,-109,-117,160,-200,-113,-112,-108,-112,180,-218,-112,-108,-106,-106,185,-214,-107,-107,-110,-110,183,-215,-110,-110,-110,-110,180,-220,-105,-115,-110,-110,,,-110,-110,-110,-110,180,-220,-110,-110
NBA,2025-11-24 13:36:16,2025-11-24 20:10,Memphis Grizzlies,Denver Nuggets,No,880.4,Yes,-110.11,-109.56,265.33,-333.33,-109.89,-110.11,West,Southwest,West,Northwest,-110,-110,265,-330,-110,-110,-110,-110,258,-333,-110,-110,-112,-113,250,-335,-112,-114,-118,-102,270,-340,-115,-105,-101,-111,267,-322,-107,-107,-105,-115,263,-325,-110,-110,-115,-105,280,-350,-105,-115,-110,-110,265.0,-325.0,-110,-110,-110,-110,270,-340,-110,-110
NBA,2025-11-24 13:36:16,2025-11-24 20:10,Milwaukee Bucks,Portland Trail Blazers,No,1718.4,Yes,-109.22,-110.56,-123.89,81.67,-110.67,-109.11,East,Central,West,Northwest,-110,-110,-126,108,-108,-112,-110,-110,-123,101,-110,-110,-112,-114,-121,-103,-114,-110,-110,-110,-122,102,-112,-108,-106,-106,-123,107,-107,-107,-110,-110,-125,105,-110,-110,-110,-110,-125,105,-110,-110,-110,-110,-125.0,105.0,-110,-110,-105,-115,-125,105,-115,-105
NBA,2025-11-24 13:36:16,2025-11-24 21:40,Phoenix Suns,Houston Rockets,No,1016.4,Yes,-111.22,-108.33,188.11,-227.67,-108.44,-111.67,West,Pacific,West,Southwest,-110,-110,180,-215,-108,-112,-110,-110,175,-217,-110,-110,-115,-109,195,-245,-114,-112,-115,-105,190,-230,-112,-108,-106,-106,198,-232,-102,-113,-110,-110,195,-235,-105,-115,-115,-105,185,-225,-110,-110,-110,-110,190.0,-225.0,-110,-110,-110,-110,185,-225,-105,-115
NBA,2025-11-24 13:36:16,2025-11-24 22:10,Golden State Warriors,Utah Jazz,No,598.7,Yes,-109.67,-110.11,-922.56,609.0,-109.11,-110.89,West,Pacific,West,Northwest,-112,-108,-950,640,-112,-108,-110,-110,-909,572,-110,-110,-114,-112,-910,575,-113,-113,-110,-110,-950,625,-105,-115,-106,-106,-834,603,-107,-107,-110,-110,-850,586,-110,-110,-110,-110,-1100,700,-105,-115,-110,-110,-850.0,580.0,-110,-110,-105,-115,-950,600,-110,-110
NBA,2025-11-24 13:36:16,2025-11-24 22:10,Sacramento Kings,Minnesota Timberwolves,No,1514.6,Yes,-107.89,-111.67,322.44,-418.0,-111.22,-108.78,West,Pacific,West,Northwest,-110,-110,310,-390,-110,-110,-110,-110,315,-417,-110,-110,-110,-114,290,-400,-114,-112,-105,-115,310,-395,-115,-105,-101,-111,340,-420,-107,-107,-105,-115,334,-425,-110,-110,-105,-115,340,-450,-115,-105,-110,-110,333.0,-425.0,-110,-110,-115,-105,330,-440,-110,-110
