League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds
NBA,2025-10-27 18:36:04,2025-10-27 19:00,Detroit Pistons,Cleveland Cavaliers,Yes,91.4,Yes,-110.78,-108.89,119.0,-141.22,-110.89,-109.0,East,Central,East,Central,-115,-105,114,-135,-112,-108,-110.0,-110.0,115.0,-141.0,-110.0,-110.0,-106.0,-106.0,127.0,-144.0,-110.0,-104.0,-110.0,-110.0,125.0,-145.0,-113.0,-107.0,-110.0,-110.0,125.0,-145.0,-110.0,-110.0,-108.0,-112.0,120.0,-142.0,-110.0,-110.0,-115.0,-105.0,115.0,-135.0,-110.0,-110.0,-110.0,-110.0,118.0,-145.0,-110.0,-110.0,-113.0,-112.0,112.0,-139.0,-113.0,-112.0
NBA,2025-10-27 18:36:04,2025-10-27 19:00,Philadelphia 76ers,Orlando Magic,No,859.5,Yes,-111.22,-108.56,197.33,-240.11,-110.89,-109.11,East,Atlantic,East,Southeast,-112,-108,195,-238,-110,-110,-110.0,-110.0,189.0,-238.0,-110.0,-110.0,-106.0,-106.0,198.0,-232.0,-107.0,-107.0,-110.0,-110.0,195.0,-235.0,-110.0,-110.0,-110.0,-110.0,200.0,-235.0,-110.0,-110.0,-110.0,-110.0,194.0,-235.0,-112.0,-108.0,-115.0,-105.0,195.0,-235.0,-115.0,-105.0,-115.0,-105.0,195.0,-235.0,-110.0,-110.0,-113.0,-113.0,215.0,-278.0,-114.0,-112.0
NBA,2025-10-27 18:36:04,2025-10-27 20:00,Chicago Bulls,Atlanta Hawks,No,588.1,Yes,-108.78,-111.0,123.33,-146.22,-109.89,-110.11,East,Central,East,Southeast,-105,-115,120,-142,-115,-105,-110.0,-110.0,122.0,-149.0,-110.0,-110.0,-108.0,-104.0,127.0,-144.0,-107.0,-107.0,-112.0,-108.0,125.0,-145.0,-110.0,-110.0,-110.0,-110.0,120.0,-140.0,-110.0,-110.0,-110.0,-110.0,128.0,-152.0,-110.0,-110.0,-105.0,-115.0,120.0,-140.0,-105.0,-115.0,-105.0,-115.0,120.0,-145.0,-110.0,-110.0,-114.0,-112.0,128.0,-159.0,-112.0,-114.0
NBA,2025-10-27 18:36:04,2025-10-27 20:00,New Orleans Pelicans,Boston Celtics,No,1359.7,Yes,-108.89,-110.89,137.67,-163.78,-110.33,-109.67,West,Southwest,East,Atlantic,-108,-112,140,-166,-110,-110,-110.0,-110.0,129.0,-159.0,-110.0,-110.0,-104.0,-108.0,141.0,-160.0,-107.0,-107.0,-108.0,-112.0,140.0,-160.0,-110.0,-110.0,-110.0,-110.0,138.0,-160.0,-110.0,-110.0,-108.0,-112.0,138.0,-164.0,-112.0,-108.0,-110.0,-110.0,135.0,-160.0,-110.0,-110.0,-110.0,-110.0,140.0,-170.0,-110.0,-110.0,-112.0,-114.0,138.0,-175.0,-114.0,-112.0
NBA,2025-10-27 18:36:04,2025-10-27 20:00,Houston Rockets,Brooklyn Nets,No,1419.5,Yes,-108.44,-111.33,-1259.11,749.89,-110.44,-109.56,West,Southwest,East,Atlantic,-102,-118,-1350,800,-115,-105,-110.0,-110.0,-1262.0,728.0,-110.0,-110.0,-106.0,-106.0,-1270.0,826.0,-107.0,-107.0,-110.0,-110.0,-1300.0,795.0,-110.0,-110.0,-110.0,-110.0,-1100.0,700.0,-110.0,-110.0,-110.0,-110.0,-1200.0,750.0,-114.0,-106.0,-105.0,-115.0,-1200.0,700.0,-105.0,-115.0,-110.0,-110.0,-1400.0,800.0,-110.0,-110.0,-113.0,-113.0,-1250.0,650.0,-113.0,-113.0
NBA,2025-10-27 18:36:04,2025-10-27 20:00,San Antonio Spurs,Toronto Raptors,No,1437.5,Yes,-110.89,-108.89,-189.44,158.78,-111.33,-108.56,West,Southwest,East,Atlantic,-112,-108,-198,164,-115,-105,-110.0,-110.0,-194.0,156.0,-110.0,-110.0,-111.0,-101.0,-185.0,162.0,-113.0,-102.0,-115.0,-105.0,-185.0,161.0,-115.0,-105.0,-110.0,-110.0,-185.0,159.0,-110.0,-110.0,-108.0,-112.0,-188.0,158.0,-110.0,-110.0,-110.0,-110.0,-180.0,155.0,-105.0,-115.0,-110.0,-110.0,-190.0,154.0,-110.0,-110.0,-112.0,-114.0,-200.0,160.0,-114.0,-110.0
NBA,2025-10-27 18:36:04,2025-10-27 20:40,Dallas Mavericks,Oklahoma City Thunder,No,188.6,Yes,-107.22,-112.56,286.11,-361.78,-109.56,-110.44,West,Southwest,West,Northwest,-105,-115,295,-375,-112,-108,-110.0,-110.0,283.0,-370.0,-110.0,-110.0,-101.0,-111.0,293.0,-356.0,-107.0,-107.0,-105.0,-115.0,289.0,-360.0,-110.0,-110.0,-110.0,-110.0,290.0,-360.0,-110.0,-110.0,-112.0,-108.0,290.0,-360.0,-110.0,-110.0,-105.0,-115.0,290.0,-380.0,-105.0,-115.0,-105.0,-115.0,280.0,-350.0,-110.0,-110.0,-112.0,-114.0,265.0,-345.0,-112.0,-114.0
NBA,2025-10-27 18:36:04,2025-10-27 21:00,Utah Jazz,Phoenix Suns,No,505.1,Yes,-109.67,-110.11,-117.56,-35.67,-111.0,-109.0,West,Northwest,West,Pacific,-108,-112,-118,-102,-115,-105,-110.0,-110.0,-115.0,-106.0,-110.0,-110.0,-106.0,-106.0,-118.0,102.0,-107.0,-107.0,-110.0,-110.0,-120.0,100.0,-110.0,-110.0,-110.0,-110.0,-120.0,100.0,-110.0,-110.0,-114.0,-106.0,-116.0,-102.0,-110.0,-110.0,-110.0,-110.0,-115.0,-105.0,-115.0,-105.0,-105.0,-115.0,-118.0,-102.0,-110.0,-110.0,-114.0,-112.0,-118.0,-106.0,-112.0,-114.0
NBA,2025-10-27 18:36:04,2025-10-27 21:40,Minnesota Timberwolves,Denver Nuggets,Yes,699.6,Yes,-86.78,-110.78,198.0,-242.0,-110.67,-109.33,West,Northwest,West,Northwest,-110,-110,200,-245,-115,-105,-110.0,-110.0,197.0,-250.0,-110.0,-110.0,100.0,-112.0,202.0,-238.0,-107.0,-107.0,-104.0,-116.0,200.0,-240.0,-110.0,-110.0,-110.0,-110.0,200.0,-235.0,-110.0,-110.0,-110.0,-110.0,198.0,-240.0,-110.0,-110.0,-115.0,-105.0,190.0,-230.0,-110.0,-110.0,-110.0,-110.0,200.0,-250.0,-110.0,-110.0,-112.0,-114.0,195.0,-250.0,-114.0,-112.0
NBA,2025-10-27 18:36:04,2025-10-27 22:00,Golden State Warriors,Memphis Grizzlies,No,1801.4,Yes,-110.22,-109.56,-340.67,270.44,-109.78,-110.22,West,Pacific,West,Southwest,-105,-115,-340,270,-108,-112,-110.0,-110.0,-345.0,263.0,-110.0,-110.0,-111.0,-101.0,-331.0,274.0,-107.0,-107.0,-115.0,-105.0,-335.0,270.0,-110.0,-110.0,-110.0,-110.0,-335.0,272.0,-110.0,-110.0,-108.0,-112.0,-335.0,270.0,-110.0,-110.0,-110.0,-110.0,-350.0,275.0,-110.0,-110.0,-110.0,-110.0,-350.0,280.0,-110.0,-110.0,-113.0,-113.0,-345.0,260.0,-113.0,-113.0
NBA,2025-10-27 18:36:04,2025-10-27 22:40,Los Angeles Lakers,Portland Trail Blazers,No,826.1,Yes,-110.11,-109.56,123.56,-146.11,-110.22,-109.89,West,Pacific,West,Northwest,-110,-110,130,-155,-110,-110,-110.0,-110.0,121.0,-149.0,-110.0,-110.0,-101.0,-111.0,125.0,-142.0,-113.0,-102.0,-105.0,-115.0,123.0,-143.0,-115.0,-105.0,-110.0,-110.0,125.0,-145.0,-110.0,-110.0,-110.0,-110.0,126.0,-148.0,-112.0,-108.0,-115.0,-105.0,120.0,-140.0,-105.0,-115.0,-115.0,-105.0,125.0,-150.0,-105.0,-115.0,-115.0,-110.0,117.0,-143.0,-112.0,-114.0
NBA,2025-10-27 18:36:04,2025-12-25 12:00,New York Knicks,Cleveland Cavaliers,No,404.7,No,-111.0,-111.0,-141.33,115.33,-111.0,-111.0,East,Atlantic,East,Central,-110,-110,-142,120,-110,-110,-110.0,-110.0,-139.0,109.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-113.0,-113.0,-143.0,117.0,-113.0,-113.0
NBA,2025-10-27 18:36:04,2025-12-25 14:30,Oklahoma City Thunder,San Antonio Spurs,No,419.4,No,-110.67,-111.0,-428.33,317.0,-109.0,-113.0,West,Northwest,West,Southwest,-110,-110,-410,320,-105,-115,-110.0,-110.0,-455.0,321.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-112.0,-113.0,-420.0,310.0,-112.0,-114.0
NBA,2025-10-27 18:36:04,2025-12-25 17:00,Golden State Warriors,Dallas Mavericks,No,1481.0,No,-112.0,-110.0,-200.33,160.67,-111.33,-110.67,West,Pacific,West,Southwest,-112,-108,-205,170,-110,-110,-110.0,-110.0,-196.0,152.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-114.0,-112.0,-200.0,160.0,-114.0,-112.0
NBA,2025-10-27 18:36:04,2025-12-25 20:00,Los Angeles Lakers,Houston Rockets,No,1375.3,Yes,-111.0,-109.0,-145.5,118.0,-112.5,-107.5,West,Pacific,West,Southwest,-112,-108,-148,124,-115,-105,-110.0,-110.0,-143.0,112.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-10-27 18:36:04,2025-12-25 22:30,Denver Nuggets,Minnesota Timberwolves,Yes,699.6,Yes,-110.67,-111.33,-224.0,178.67,-112.33,-109.67,West,Northwest,West,Northwest,-105,-115,-230,190,-115,-105,-110.0,-110.0,-222.0,171.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-117.0,-109.0,-220.0,175.0,-112.0,-114.0
NBA,2025-10-27 18:36:04,2026-01-19 13:00,Atlanta Hawks,Milwaukee Bucks,No,668.3,No,-120.0,100.0,-218.0,180.0,-110.0,-110.0,East,Southeast,East,Central,-120,100,-218,180,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-10-27 18:36:04,2026-01-19 14:30,Cleveland Cavaliers,Oklahoma City Thunder,No,951.7,No,102.0,-122.0,-112.0,-108.0,-110.0,-110.0,East,Central,West,Northwest,102,-122,-112,-108,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-10-27 18:36:04,2026-01-19 17:00,New York Knicks,Dallas Mavericks,No,1374.4,No,-102.0,-118.0,-265.0,215.0,-110.0,-110.0,East,Atlantic,West,Southwest,-102,-118,-265,215,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-10-27 18:36:04,2026-01-19 20:00,Detroit Pistons,Boston Celtics,No,613.5,Yes,-110.0,-110.0,-198.0,164.0,-110.0,-110.0,East,Central,East,Atlantic,-110,-110,-198,164,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
